big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.045825350098312,None,1,5.27150082308799,10.045825350098312,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.350979551207274,None,15.350979551207274,None,15.350979551207274,None,1,7.596437178086489,15.350979551207274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.96226602094248,None,22.96226602094248,None,['equal'],[22.23936801496893],22.96226602094248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.71146970009431,None,49.71146970009431,None,['equal'],[1.4853812521323562],49.71146970009431,None,48.2158691030927,None,48.2158691030927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.21139621222392,None,358.7241476941854,None,1,12.385457107797265,358.7241476941854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.2735282140784,None,422.2735282140784,None,['equal'],[1.4998038858175278],422.2735282140784,None,420.7903320873156,None,420.7903320873156,None,,,731.3017712691799,None,1,15.257854256313294,731.3017712691799,None,371.14121574908495,None,371.14121574908495,None,371.14121574908495,None,['1'],[25.949406231753528],371.14121574908495,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1']","[39.478206078056246, 47.27646793611348, 69.21109975827858, 83.20960624702275, 112.52786213904619, 156.42621624935418, 188.77540047094226, 222.1773764952086, 237.90998138301075]",424.21260638395324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
0,0,0,0,,,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791.0176871689036,None,791.0176871689036,None,['equal'],[1.4918717611581087],791.0176871689036,None,789.5176874781027,None,789.5176874781027,None,,,1100.0312170409597,None,1,20.705909213982522,1100.0312170409597,None,,,,,,,,,,,,,,,746.5863699289039,None,746.5863699289039,None,746.5863699289039,None,1,22.801281141117215,746.5863699289039,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[30.85178906703368, 63.4668896519579, 90.10511396313086, 121.28644715808332, 136.75030021183193, 159.64946005307138, 216.38685307092965, 252.33656455902383, 275.3362855250016, 302.9191559157334]",792.5184812298976,None,792.5184812298976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
0,0,0,0,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155.164068303071,None,1155.164068303071,None,['equal'],[1.4851721273735166],1155.164068303071,None,1153.6643381873146,None,1153.6643381873146,None,,,1464.1601963150315,None,1,24.518715721089393,1464.1601963150315,None,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[79.58812658116221, 107.83422870421782, 121.13373142387718, 140.12121640425175, 150.83340697502717, 172.7699592350982, 182.71682760398835, 194.24749316833913, 204.45406673895195, 228.96631955215707, 236.87089685210958, 248.28726538829505, 262.3705444089137, 271.79861060297117, 278.91505299229175, 289.0367871671915, 302.3365278071724]",1156.6636125640944,None,1156.6636125640944,None,1120.764381497167,None,1120.764381497167,None,1120.764381497167,None,1,12.5045199659653,1120.764381497167,None,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535.6252771820873,None,1535.6252771820873,None,['equal'],[1.483716499991715],1535.6252771820873,None,1534.1254778169096,None,1534.1254778169096,None,,,1844.6378979859874,None,1,21.885388845112175,1844.6378979859874,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.58385525876656, 39.05173126189038, 62.21831623883918, 94.73317361110821, 116.76698359008878, 136.5983150708489, 163.26461328100413, 192.59941418888047, 208.36470689810812, 254.86438690684736, 273.09828194975853, 301.4644260760397]",1537.3586892848834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1488.7091544303112,None,1488.7091544303112,None,1488.7091544303112,None,1,26.416781716048717,1488.7091544303112,None,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902.0540300630964,None,1902.0540300630964,None,['equal'],[1.4849630608223379],1902.0540300630964,None,1900.5585457519628,None,1900.5585457519628,None,,,2211.0666328528896,None,1,19.456472015939653,2211.0666328528896,None,,,,,,,,,,,,,,,1866.5373569172807,None,1866.5373569172807,None,1866.5373569172807,None,1,16.073317523114383,1866.5373569172807,None,"['1', '1', '1', '1', '1', '1', '1', '1']","[30.279878071974963, 64.79549635574222, 84.82910690875724, 99.13341125100851, 115.54531549988315, 165.64523345185444, 211.09371608495712, 240.84316969290376]",1903.5586616522633,None,1903.5586616522633,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2258.4664254081436,None,2258.4664254081436,None,['equal'],[1.5044935620389879],2258.4664254081436,None,2256.965706380084,None,2256.965706380084,None,,,2567.4943336211145,None,1,18.5878877597861,2567.4943336211145,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2230.5495086130686,None,2230.5495086130686,None,2230.5495086130686,None,1,9.122358242049813,2230.5495086130686,None,"['1', '1', '1', '1', '1', '1']","[22.749889388680458, 47.58246046071872, 74.06541474489495, 142.58175975363702, 167.0485440818593, 256.0466469647363]",2260.2175469598733,None,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2626.3779041939415,None,2626.3779041939415,None,['equal'],[1.5002471529878676],2626.3779041939415,None,2624.878264782019,None,2624.878264782019,None,,,2935.4063626392744,None,1,17.154851647093892,2935.4063626392744,None,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[74.42931945482269, 92.91698019579053, 124.64902233192697, 139.51610933803022, 180.56676650885493, 192.77823214512318, 215.09452787786722, 244.67732072714716, 255.59356204187497, 303.4147983449511]",2627.898807439953,None,2627.898807439953,None,2586.1112025310285,None,2586.1112025310285,None,2586.1112025310285,None,1,11.268381396308541,2586.1112025310285,None,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2977.2442991412245,None,2977.2442991412245,None,['equal'],[1.4831113098189235],2977.2442991412245,None,2975.7400297028944,None,2975.7400297028944,None,,,3286.2522315261886,None,1,12.739409648347646,3286.2522315261886,None,2952.5891646901146,None,2952.5891646901146,None,2952.5891646901146,None,['1'],[6.2510926951654255],2952.5891646901146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[29.33461070479825, 61.15168870566413, 110.40067135868594, 151.78372628008947, 157.49960599979386, 203.53304331982508, 234.71579412790015, 269.11534777795896, 275.88093486987054, 296.74785343091935, 298.4316393057816]",2978.989446709864,None,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3299.0183949558996,None,3299.0183949558996,None,3299.0183949558996,None,1,8.440799287054688,3299.0183949558996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3325.2848421111703,None,3325.2848421111703,None,['equal'],[1.485099860932678],3325.2848421111703,None,3323.7891150880605,None,3323.7891150880605,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3326.785018681083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3634.2806888581254,None,space,14.373381089884788,3634.2806888581254,None,ATM011,001,2021_Nov_01_1620,ATM_main_5-19-21,2021.1.3,59.7322876668242,
